date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:42	70554/70554	---M-Z	200	added ('OK')	text/html	etag:%221139a-55342ca44b280-gzip%22	http://frontend.big-skins.com/seiko/html/header-variant-8.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/header-variant-8.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:43	82612/82612	---M-Z	200	added ('OK')	text/html	etag:%22142b4-55342ca44b280-gzip%22	http://frontend.big-skins.com/seiko/html/header-variant-9.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/header-variant-9.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:43	72601/72601	---M-Z	200	added ('OK')	text/html	etag:%2211b99-55342ca07a980-gzip%22	http://frontend.big-skins.com/seiko/html/footer-variant-1.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/footer-variant-1.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:44	68414/68414	---M-Z	200	added ('OK')	text/html	etag:%2210b3e-55342ca262e00-gzip%22	http://frontend.big-skins.com/seiko/html/footer-variant-2.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/footer-variant-2.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:44	65597/65597	---M-Z	200	added ('OK')	text/html	etag:%221003d-55342ca262e00-gzip%22	http://frontend.big-skins.com/seiko/html/footer-variant-3.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/footer-variant-3.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:45	77198/77198	---M-Z	200	added ('OK')	text/html	etag:%2212d8e-55342ca262e00-gzip%22	http://frontend.big-skins.com/seiko/html/footer-variant-4.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/footer-variant-4.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:45	69439/69439	---M-Z	200	added ('OK')	text/html	etag:%2210f3f-55342ca262e00-gzip%22	http://frontend.big-skins.com/seiko/html/gallery.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/gallery.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:46	69664/69664	---M-Z	200	added ('OK')	text/html	etag:%2211020-55342ca262e00-gzip%22	http://frontend.big-skins.com/seiko/html/gallery-3-per-row.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/gallery-3-per-row.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:46	69618/69618	---M-Z	200	added ('OK')	text/html	etag:%2210ff2-55342ca262e00-gzip%22	http://frontend.big-skins.com/seiko/html/gallery-simple.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/gallery-simple.html	(from http://frontend.big-skins.com/seiko/html/)
20:35:47	72944/72944	---M-Z	200	added ('OK')	text/html	etag:%2211cf0-55342c9ac1c00-gzip%22	http://frontend.big-skins.com/seiko/html/blog.html	C:/My%20Web%20Sites/fe1/frontend.big-skins.com/seiko/html/blog.html	(from http://frontend.big-skins.com/seiko/html/)
